#
# This matrix was created by DB; 
# It's a modification of nuc-4_4.txt in biojava3-alignment package
#
# Uses ambiguous nucleotide codes, probabilities rounded to
#  nearest integer
#
# Lowest score = -4, Highest score = 5
#
    A   T   G   C   S   W   R   Y   K   M   B   V   H   D   N
A   5  -4  -4  -4  -4   1   1  -4  -4   1  -4  -1  -1  -1   0
T  -4   5  -4  -4  -4   1  -4   1   1  -4  -1  -4  -1  -1   0
G  -4  -4   5  -4   1  -4   1  -4   1  -4  -1  -1  -4  -1   0
C  -4  -4  -4   5   1  -4  -4   1  -4   1  -1  -1  -1  -4   0
S  -4  -4   1   1  -1  -4  -2  -2  -2  -2  -1  -1  -3  -3   0
W   1   1  -4  -4  -4  -1  -2  -2  -2  -2  -3  -3  -1  -1   0
R   1  -4   1  -4  -2  -2  -1  -4  -2  -2  -3  -1  -3  -1   0
Y  -4   1  -4   1  -2  -2  -4  -1  -2  -2  -1  -3  -1  -3   0
K  -4   1   1  -4  -2  -2  -2  -2  -1  -4  -1  -3  -3  -1   0
M   1  -4  -4   1  -2  -2  -2  -2  -4  -1  -3  -1  -1  -3   0
B  -4  -1  -1  -1  -1  -3  -3  -1  -1  -3  -1  -2  -2  -2   0
V  -1  -4  -1  -1  -1  -3  -1  -3  -3  -1  -2  -1  -2  -2   0
H  -1  -1  -4  -1  -3  -1  -3  -1  -3  -1  -2  -2  -1  -2   0  
D  -1  -1  -1  -4  -3  -1  -1  -3  -1  -3  -2  -2  -2  -1   0
N   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
